datetime,value,variable,device,device_name
2023-10-30 20:57:00-05:00,127.68,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 20:54:00-05:00,127.1,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 20:51:00-05:00,127.04,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 20:48:00-05:00,127.05,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 20:45:00-05:00,127.37,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 20:42:00-05:00,128.87,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 20:39:00-05:00,128.95,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 20:36:00-05:00,128.73,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 20:33:00-05:00,128.22,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 20:30:00-05:00,128.33,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 20:27:00-05:00,128.92,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 20:24:00-05:00,128.8,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 20:21:00-05:00,128.44,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 20:18:00-05:00,128.19,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 20:15:00-05:00,128.62,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 20:12:00-05:00,128.25,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 20:09:00-05:00,128.72,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 20:06:00-05:00,128.74,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 20:03:00-05:00,128.07,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 20:00:00-05:00,128.28,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 19:57:00-05:00,128.31,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 19:54:00-05:00,128.03,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 19:51:00-05:00,128.76,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 19:48:00-05:00,128.64,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 19:45:00-05:00,128.15,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 19:42:00-05:00,128.41,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 19:39:00-05:00,128.26,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 19:36:00-05:00,128.36,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 19:33:00-05:00,128.66,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 19:30:00-05:00,128.83,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 19:27:00-05:00,128.47,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 19:24:00-05:00,128.3,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 19:21:00-05:00,128.41,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 19:18:00-05:00,128.29,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 19:15:00-05:00,128.67,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 19:12:00-05:00,128.63,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 19:09:00-05:00,128.15,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 19:06:00-05:00,128.18,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 19:03:00-05:00,128.19,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 19:00:00-05:00,127.98,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 18:57:00-05:00,128.58,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 18:54:00-05:00,128.49,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 18:51:00-05:00,127.69,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 18:48:00-05:00,128.0,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 18:45:00-05:00,128.0,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 18:42:00-05:00,127.98,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 18:39:00-05:00,128.15,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 18:36:00-05:00,128.29,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 18:33:00-05:00,128.13,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 18:30:00-05:00,127.67,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 18:27:00-05:00,127.54,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
